,writer-id,attribute,avg_distance
0,1, angle_norm,0.04909608550738125
1,1, letter_size_norm,0.05006554946836593
2,1, pen_pressure_norm,0.2343617476989176
3,1, slant_angle_norm,0.1142191676212288
4,1, word_spacing_norm,0.05253203961997163
5,2, angle_norm,0.03698656105774367
6,2, letter_size_norm,0.025032774734182965
7,2, pen_pressure_norm,0.1171808738494588
8,2, slant_angle_norm,0.15317018987122066
9,2, word_spacing_norm,0.026266019809985816
10,3, angle_norm,0.02238341599828121
11,3, letter_size_norm,0.01965760127672193
12,3, pen_pressure_norm,0.1437271571507693
13,3, slant_angle_norm,0.09120436900505617
14,3, word_spacing_norm,0.034915345082112824
15,4, angle_norm,0.016787561998710912
16,4, letter_size_norm,0.12130719279399253
17,4, pen_pressure_norm,0.10382184494297657
18,4, slant_angle_norm,0.08196336745674013
19,4, word_spacing_norm,0.040547853349399796
20,5, angle_norm,0.021856147681539755
21,5, letter_size_norm,0.17540001584989007
22,5, pen_pressure_norm,0.1663925323432609
23,5, slant_angle_norm,0.09480213122114534
24,5, word_spacing_norm,0.13784623309372804
25,6, angle_norm,0.007306485680988123
26,6, letter_size_norm,0.076379646963334
27,6, pen_pressure_norm,0.09178004350742462
28,6, slant_angle_norm,0.059330014685199016
29,6, word_spacing_norm,0.08641588655249287
30,7, angle_norm,0.0054993401063331265
31,7, letter_size_norm,0.05068272884117029
32,7, pen_pressure_norm,0.2807266632577593
33,7, slant_angle_norm,0.07012182125482597
34,7, word_spacing_norm,0.04084379576008358
35,8, angle_norm,0.010950570344879932
36,8, letter_size_norm,0.038227905613352174
37,8, pen_pressure_norm,0.05485234041041637
38,8, slant_angle_norm,0.04915467601181892
39,8, word_spacing_norm,0.01918613676368223
40,9, angle_norm,0.0028284435663930314
41,9, letter_size_norm,0.02883365180266944
42,9, pen_pressure_norm,0.1541823674719122
43,9, slant_angle_norm,0.043803265502518826
44,9, word_spacing_norm,0.02506438564351613
45,10, angle_norm,0.006885342652620962
46,10, letter_size_norm,0.022429915159631313
47,10, pen_pressure_norm,0.06696366610273005
48,10, slant_angle_norm,0.03350538210946189
49,10, word_spacing_norm,0.04732778442001175
50,11, angle_norm,0.014099871730421995
51,11, letter_size_norm,0.03249816348682025
52,11, pen_pressure_norm,0.0691457960632952
53,11, slant_angle_norm,0.10876308922303105
54,11, word_spacing_norm,0.016804022130380375
55,12, angle_norm,0.024491128628608444
56,12, letter_size_norm,0.020415323513490412
57,12, pen_pressure_norm,0.05570548780890054
58,12, slant_angle_norm,0.03858838113278769
59,12, word_spacing_norm,0.03221440908323414
60,13, angle_norm,0.004237428485981902
61,13, letter_size_norm,0.0758219490471777
62,13, pen_pressure_norm,0.045322537272160054
63,13, slant_angle_norm,0.03423276310370381
64,13, word_spacing_norm,0.011082813680411113
65,14, angle_norm,0.005587247172920603
66,14, letter_size_norm,0.05275799017282291
67,14, pen_pressure_norm,0.0280980293935447
68,14, slant_angle_norm,0.0608613487864576
69,14, word_spacing_norm,0.07182001019251064
70,15, angle_norm,0.013232059994386935
71,15, letter_size_norm,0.0137438187055128
72,15, pen_pressure_norm,0.04133631917667553
73,15, slant_angle_norm,0.027609365693214392
74,15, word_spacing_norm,0.025749694950334336
75,16, angle_norm,0.007330634845977131
76,16, letter_size_norm,0.01725550694990114
77,16, pen_pressure_norm,0.03689521833894268
78,16, slant_angle_norm,0.021788564831362676
79,16, word_spacing_norm,0.02424710047717938
80,17, angle_norm,0.008786662052786104
81,17, letter_size_norm,0.020158139207301713
82,17, pen_pressure_norm,0.15069077273682782
83,17, slant_angle_norm,0.014982048729555242
84,17, word_spacing_norm,0.01855646828346984
85,18, angle_norm,0.03150494305396351
86,18, letter_size_norm,0.006579406203586058
87,18, pen_pressure_norm,0.03399153614852938
88,18, slant_angle_norm,0.03763537545872667
89,18, word_spacing_norm,0.006604188339428779
90,19, angle_norm,0.0049596462548930865
91,19, letter_size_norm,0.01079320540832231
92,19, pen_pressure_norm,0.015534329242413592
93,19, slant_angle_norm,0.05745469066553703
94,19, word_spacing_norm,0.02317247634254268
95,20, angle_norm,0.0014346008552516352
96,20, letter_size_norm,0.009935854949198969
97,20, pen_pressure_norm,0.07974679356280831
98,20, slant_angle_norm,0.014366342609140404
99,20, word_spacing_norm,0.01625887623307501
100,21, angle_norm,0.00038573431500744937
101,21, letter_size_norm,0.007244311167585343
102,21, pen_pressure_norm,0.0730111612375891
103,21, slant_angle_norm,0.020671760550858648
104,21, word_spacing_norm,0.012842640220829519
105,22, angle_norm,0.002644058964545993
106,22, letter_size_norm,0.01698476291359253
107,22, pen_pressure_norm,0.028255547852669018
108,22, slant_angle_norm,0.021709323036712424
109,22, word_spacing_norm,0.01384884285394184
110,23, angle_norm,0.0110543604085532
111,23, letter_size_norm,0.007059786898627551
112,23, pen_pressure_norm,0.05841777256238856
113,23, slant_angle_norm,0.028758198788912948
114,23, word_spacing_norm,0.011245905564386618
115,24, angle_norm,0.004016580336869987
116,24, letter_size_norm,0.030001668694298593
117,24, pen_pressure_norm,0.06466975108270136
118,24, slant_angle_norm,0.022104165656925377
119,24, word_spacing_norm,0.00728780931612823
120,25, angle_norm,0.0032751288160311268
121,25, letter_size_norm,0.006227827806439812
122,25, pen_pressure_norm,0.016046902152093458
123,25, slant_angle_norm,0.012500809316284755
124,25, word_spacing_norm,0.010212115744848049
125,26, angle_norm,0.007414531847910988
126,26, letter_size_norm,0.006335626850165093
127,26, pen_pressure_norm,0.01304753569712358
128,26, slant_angle_norm,0.016611633427397098
